;ID;tasks;star_work;in_call;out_call;comment;in_mail;out_mail
1;53;1;0;1;0;0;0;0
2;91;1;0;0;0;0;0;0
3;4;1;0;0;0;0;0;0
4;16;1;0;1;0;0;0;0
5;85;1;0;0;0;0;0;0
6;37;1;0;0;0;0;0;0
7;42;5;0;0;0;0;0;0
8;57;1;0;0;0;0;0;0
9;70;1;0;0;0;0;0;0
10;27;1;0;0;0;0;0;0
11;2;1;0;0;0;0;0;0
12;17;1;0;0;0;0;0;0
13;24;1;0;0;0;0;0;0
14;8;1;0;0;0;0;0;0
15;62;1;0;0;0;0;0;0
16;18;1;0;0;0;0;0;0
17;47;1;0;0;0;0;0;0
18;81;1;0;0;0;0;0;0
19;1;1;0;0;0;0;0;0
20;37;1;0;0;0;0;0;0
21;7;1;0;0;0;0;0;0
22;16;1;0;0;0;0;0;0
23;6;1;0;0;0;0;0;0
24;4;1;0;0;0;0;0;0
25;62;1;0;0;0;0;0;0
26;21;1;0;0;0;0;0;0
27;61;1;0;0;0;0;0;0
28;25;1;0;0;0;0;0;0
29;82;1;0;0;0;0;0;0
30;67;1;0;0;0;0;0;0
31;75;1;0;0;0;0;0;0
32;53;1;0;0;0;0;0;0
33;52;1;0;0;0;0;0;0
34;67;1;0;0;0;0;0;0
35;87;1;0;0;0;0;0;0
36;94;1;0;0;0;0;0;0
37;56;1;0;2;0;0;0;0
38;51;1;0;0;0;0;0;0
39;9;1;0;0;0;0;0;0
40;30;1;0;0;0;0;0;0
41;57;1;0;0;0;0;0;0
42;83;1;0;0;0;0;0;0
43;61;1;0;0;0;0;0;0
44;39;1;0;0;0;0;0;0
45;75;1;0;0;0;0;0;0
46;91;2;0;0;0;0;0;0
47;75;1;0;0;0;0;0;0
48;54;1;0;0;0;0;0;0
49;3;1;0;0;0;0;0;0
50;92;1;0;0;0;0;0;0
51;35;1;0;0;0;0;0;0
52;94;1;0;0;0;0;0;0
53;56;1;0;0;0;0;0;0
54;65;1;0;0;0;0;0;0
55;50;1;0;0;0;0;0;0
56;35;1;0;0;0;0;0;0
57;10;1;0;0;0;0;0;0
58;82;1;0;0;0;0;0;0
59;70;1;0;0;0;0;0;0
60;47;1;0;0;0;0;0;0
61;58;1;0;0;0;0;0;0
62;50;1;0;0;0;0;0;0
63;6;1;0;0;0;0;0;0
64;32;1;0;0;0;0;0;0
65;32;1;0;0;0;0;0;0
66;77;1;0;0;0;0;0;0
67;21;1;0;0;0;0;0;0
68;68;1;0;0;0;0;0;0
69;10;1;0;0;0;0;0;0
70;49;1;0;0;0;0;0;0
71;13;1;0;0;0;0;0;0
72;12;1;0;0;0;0;0;0
73;11;1;0;0;0;0;0;0
74;95;1;0;0;0;0;0;0
75;77;1;0;0;0;0;0;0
76;10;1;0;0;0;0;0;0
77;82;1;0;0;0;0;0;0
78;94;1;0;0;0;0;0;0
79;3;1;0;0;0;0;0;0
80;55;1;0;0;0;0;0;0
81;28;7;0;0;0;0;0;0
82;91;1;0;0;0;0;0;0
83;69;1;0;0;0;0;0;0
84;18;1;0;0;0;0;0;0
85;31;1;0;0;0;0;0;0
86;63;1;0;0;0;0;0;0
87;54;1;0;0;0;0;0;0
88;26;1;0;0;0;0;0;0
89;60;1;0;0;0;0;0;0
90;1;1;0;0;0;0;0;0
91;53;1;0;0;0;0;0;0
92;73;1;0;0;0;0;0;0
93;39;1;0;0;0;0;0;0
94;93;1;0;0;0;0;0;0
95;100;1;0;0;0;0;0;0
96;55;1;0;0;0;0;0;0
97;40;1;0;0;0;0;0;0
98;22;1;0;0;0;0;0;0
99;80;1;0;0;0;0;0;0
100;83;1;0;0;0;0;0;0
101;7;1;0;0;0;0;0;0
102;57;1;0;0;0;0;0;0
103;32;1;0;0;0;0;0;0
104;77;1;0;0;0;0;0;0
105;82;1;0;0;0;0;0;0
106;33;1;0;0;0;0;0;0
107;20;1;0;0;0;0;0;0
108;20;1;0;0;0;0;0;0
109;48;1;0;0;0;0;0;0
110;82;1;0;0;0;0;0;0
111;85;1;0;0;0;0;0;0
112;72;1;0;0;0;0;0;0
113;40;1;0;0;0;0;0;0
114;23;1;0;0;0;0;0;0
115;89;1;0;0;0;0;0;0
116;98;1;0;0;0;0;0;0
117;25;1;0;0;0;0;0;0
118;37;1;0;0;0;0;0;0
119;27;1;0;0;0;0;0;0
120;87;1;0;0;0;0;0;0
121;83;1;0;0;0;0;0;0
122;74;1;0;0;0;0;0;0
123;72;1;0;0;0;0;0;0
124;51;1;0;0;0;0;0;0
125;89;1;0;0;0;0;0;0
126;96;1;0;0;0;0;0;0
127;47;1;0;0;0;0;0;0
128;27;1;0;0;0;0;0;0
129;30;1;0;0;0;0;0;0
130;55;1;0;0;0;0;0;0
131;50;1;0;0;0;0;0;0
132;95;1;0;0;0;0;0;0
133;36;1;0;0;0;0;0;0
134;17;1;0;0;0;0;0;0
135;84;1;0;0;0;0;0;0
136;61;1;0;0;0;0;0;0
137;30;1;0;0;0;0;0;0
138;39;1;0;0;0;0;0;0
139;67;1;0;0;0;0;0;0
140;60;1;0;0;0;0;0;0
141;48;1;0;0;0;0;0;0
142;79;1;0;0;0;0;0;0
143;56;1;0;0;0;0;0;0
144;46;1;0;0;0;0;0;0
145;66;1;0;0;0;0;0;0
146;79;1;0;0;0;0;0;0
147;14;1;0;0;0;0;0;0
148;14;1;0;0;0;0;0;0
149;88;1;0;0;0;0;0;0
150;78;1;0;0;0;0;0;0
151;100;1;0;0;0;0;0;0
152;25;1;0;0;0;0;0;0
153;53;1;0;0;0;0;0;0
154;18;1;0;0;0;0;0;0
155;87;1;0;1;0;0;0;0
156;40;1;0;0;0;0;0;0
157;39;1;0;0;0;0;0;0
158;16;1;0;0;0;0;0;0
159;97;1;0;0;0;0;0;0
160;38;1;0;0;0;0;0;0
161;21;1;0;0;0;0;0;0
162;14;1;0;0;0;0;0;0
163;91;1;0;0;0;0;0;0
164;38;1;0;0;0;0;0;0
165;78;1;0;0;0;0;0;0
166;80;1;0;0;0;0;0;0
167;77;1;0;0;0;0;0;0
168;49;1;0;0;0;0;0;0
169;54;1;0;0;0;0;0;0
170;24;1;0;0;0;0;0;0
171;17;1;0;0;0;0;0;0
172;19;1;0;0;0;0;0;0
